"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Conference Paper","Morales JA,Yasar H,Volkman A","Implementing DevOps Practices in Highly Regulated Environments","","2018","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th International Conference on Agile Software Development: Companion","Porto, Portugal","2018","9781450364225","","https://doi-org.proxy.bnl.lu/10.1145/3234152.3234188;http://dx.doi.org/10.1145/3234152.3234188","10.1145/3234152.3234188","In this paper, we discuss implementing DevOps practices in highly regulated environments (HREs). DevOps has become a standard option for entities seeking to streamline and increase participation by all stakeholders in their Software Development Lifecycle (SDLC). For a large portion of industry, academia, and government, applying DevOps is a straight forward process. There is, however, a subset of entities in these three sectors where applying DevOps can be very challenging. These are entities mandated by policies to conduct all or a portion of their SDLC activities in HREs. Often, the reason for an HRE is general security and protection of intellectual property. Even if an entity is functioning in a highly regulated environment, its SDLC can still benefit from implementing DevOps as long as the implementation conforms to all imposed policies. In this paper, we discuss the process of performing a DevOps assessment and implementation in an HRE which we refer to as HRE-DevOps.","secure DevOps, DevOps, DevOps assessment, SDLC, highly regulated environment","XP '18"
"Journal Article","Bennett BT","Shifting Traditional Undergraduate Software Engineering Instruction to a DevOps Focus","J. Comput. Sci. Coll.","2021","36","5","129–138","Consortium for Computing Sciences in Colleges","Evansville, IN, USA","","","2021-01","","1937-4771","","","Classical Software Engineering education often includes traditional methodologies that do not adequately describe today's industry practice. DevOps is a culture that promotes fast delivery, continuous feedback, and an environment of learning. Its non-linear path requires a shift in software engineering pedagogy. This case study describes the redevelopment of a second-semester course in software engineering to focus on DevOps principles. The study evaluates student performance using formative and summative assessment through a team project tracked throughout the semester and final exam results. Results indicated that students developed DevOps skills during the course, but may have needed more reinforcement of some traditional Software Engineering topics.","",""
"Conference Paper","Pietrantuono R,Bertolino A,De Angelis G,Miranda B,Russo S","Towards Continuous Software Reliability Testing in DevOps","","2019","","","21–27","IEEE Press","Montreal, Quebec, Canada","Proceedings of the 14th International Workshop on Automation of Software Test","","2019","","","https://doi-org.proxy.bnl.lu/10.1109/AST.2019.00009;http://dx.doi.org/10.1109/AST.2019.00009","10.1109/AST.2019.00009","We introduce the DevOpRET approach for continuous reliability testing in DevOps. It leverages information monitored in operation to guide operational-profile based testing, which is conceived as part of the acceptance testing stage before each next release to production. We overview the envisaged test and monitoring pipeline, describe the approach and present a case-study evaluating how reliability assessment evolves over subsequent releases.","acceptance test, operational profile, quality gate, software reliability testing, DevOps","AST '19"
"Conference Paper","Pourmajidi W,Miranskyy A,Steinbacher J,Erwin T,Godwin D","Dogfooding: Using IBM Cloud Services to Monitor IBM Cloud Infrastructure","","2019","","","344–353","IBM Corp.","USA","Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering","Toronto, Ontario, Canada","2019","","","","","The stability and performance of Cloud platforms are essential as they directly impact customers' satisfaction. Cloud service providers use Cloud monitoring tools to ensure that rendered services match the quality of service requirements indicated in established contracts such as service-level agreements.Given the enormous number of resources that need to be monitored, highly scalable and capable monitoring tools are designed and implemented by Cloud service providers such as Amazon, Google, IBM, and Microsoft. Cloud monitoring tools monitor millions of virtual and physical resources and continuously generate logs for each one of them. Considering that logs magnify any technical issue, they can be used for disaster detection, prevention, and recovery. However, logs are useless if they are not assessed and analyzed promptly. Thus, we argue that the scale of Cloud-generated logs makes it impossible for DevOps teams to analyze them effectively. This implies that one needs to automate the process of monitoring and analysis (e.g., using machine learning and artificial intelligence). If the automation will witness an anomaly in the logs --- it will alert DevOps staff.The automatic anomaly detectors require a reliable and scalable platform for gathering, filtering, and transforming the logs, executing the detector models, and sending out the alerts to the DevOps staff. In this work, we report on implementing a prototype of such a platform based on the 7-layered architecture pattern, which leverages micro-service principles to distribute tasks among highly scalable, resources-efficient modules. The modules interact with each other via an instance of the Publish-Subscribe architectural pattern. The platform is deployed on the IBM Cloud service infrastructure and is used to detect anomalies in logs emitted by the IBM Cloud services, hence the dogfooding. In particular, we leverage IBM Cloud Functions to deploy the computing modules, IBM Event Streams to establish communication among the modules, and IBM Cloud Object Storage and IBM Cloudant for persistent storage.The prototype efficiency is promising: it takes the platform 17 seconds or less from the point of receiving a new log record to emitting an alert to the IBM Cloud DevOps team.","","CASCON '19"
"Conference Paper","Daoudagh S,Lonetti F,Marchetti E","Continuous Development and Testing of Access and Usage Control: A Systematic Literature Review","","2020","","","51–59","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 European Symposium on Software Engineering","Rome, Italy","2020","9781450377621","","https://doi-org.proxy.bnl.lu/10.1145/3393822.3432330;http://dx.doi.org/10.1145/3393822.3432330","10.1145/3393822.3432330","Context: Development and testing of access/usage control systems is a growing research area. With new trends in software development such as DevOps, the development of access/usage control also has to evolve. Objective: The main aim of this paper is to provide an overview of research proposals in the area of continuous development and testing of access and usage control systems. Method: The paper uses a Systematic Literature Review as a research method to define the research questions and answer them following a systematic approach. With the specified search string, 210 studies were retrieved. After applying the inclusion and exclusion criteria in two phases, a final set of 20 primary studies was selected for this review. Results: Results show that primary studies are mostly published in security venues followed by software engineering venues. Furthermore, most of the studies are based on the standard XACML access control language. In addition, a significant portion of the proposals for development and testing is automated with test assessment and generation the most targeted areas. Some general guidelines for leveraging continuous developing and testing of the usage and access control systems inside the DevOps process are also provided.","Access Control, XACML, DevOps, Systematic Literature Review, Testing","ESSE 2020"
"Conference Paper","Islam MS,Pourmajidi W,Zhang L,Steinbacher J,Erwin T,Miranskyy A","Anomaly Detection in a Large-Scale Cloud Platform","","2021","","","150–159","IEEE Press","Virtual Event, Spain","Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice","","2021","9780738146690","","https://doi-org.proxy.bnl.lu/10.1109/ICSE-SEIP52600.2021.00024;http://dx.doi.org/10.1109/ICSE-SEIP52600.2021.00024","10.1109/ICSE-SEIP52600.2021.00024","Cloud computing is ubiquitous: more and more companies are moving the workloads into the Cloud. However, this rise in popularity challenges Cloud service providers, as they need to monitor the quality of their ever-growing offerings effectively. To address the challenge, we designed and implemented an automated monitoring system for the IBM Cloud Platform. This monitoring system utilizes deep learning neural networks to detect anomalies in near-real-time in multiple Platform components simultaneously.After running the system for a year, we observed that the proposed solution frees the DevOps team's time and human resources from manually monitoring thousands of Cloud components. Moreover, it increases customer satisfaction by reducing the risk of Cloud outages.In this paper, we share our solutions' architecture, implementation notes, and best practices that emerged while evolving the monitoring system. They can be leveraged by other researchers and practitioners to build anomaly detectors for complex systems.","","ICSE-SEIP '21"
"Conference Paper","Kontogiannis K,Amyot D,Mylopoulos J","Software Techniques for Engineering Cyber-Physical Systems","","2021","","","289–290","IBM Corp.","USA","Proceedings of the 31st Annual International Conference on Computer Science and Software Engineering","Toronto, Canada","2021","","","","","Cyber-Physical Systems (CPSs) refer to systems comprising software components, physical components, and social entities which monitor, control, and coordinate processes within a physical environment. CPSs apply to a wide range of mission-critical applications that span from the intelligent management of logistics in complex supply chains, advanced manufacturing systems, and smart contracts, all the way to autonomous systems, and systems that support the smart interactions between humans and machines (M2H), or between machines (M2M). In this respect, the engineering of CPSs goes beyond existing Software Engineering concepts, tools, and techniques because of the very nature of CPSs that spans three realms (cyber, physical, social) and therefore needs to address requirements that span these realms. During the workshop, the participants discussed and debated techniques and directions in six main thematic areas on engineering Cyber-Physical Systems. These thematic areas deal with specification and modeling, DevOps processes for CPSs, data management and analytics, infrastructure and event handling, run-time adaptivity, and finally security, trust, and traceability.","process metrics, software repositories, fault-proneness prediction, continuous software engineering","CASCON '21"
"Journal Article","Ali N,Daneth H,Hong J","A Hybrid DevOps Process Supporting Software Reuse: A Pilot Project","J. Softw. Evol. Process","2020","32","7","","John Wiley & Sons, Inc.","USA","","","2020-07","","2047-7473","https://doi-org.proxy.bnl.lu/10.1002/smr.2248;http://dx.doi.org/10.1002/smr.2248","10.1002/smr.2248","Large software development organizations manage reusable software components through a reusable software repository in order to reduce development time and cost and to improve software quality and productivity. This paper presents a hybrid DevOps process with a systematic reuse‐based software development and management process to reduce the effort and cost required for the rework and to increase productivity. The proposed approach promotes the systematic reuse of software components based on both information retrieval and ontology‐based retrieval techniques. The reusable assets are presented in different styles to ease and support the reuse process with fine‐grained reusable artifacts. To evaluate our proposed process, a pilot project, aiming to monitor the health of a patient, was developed and monitored the reuse activities throughout the whole experiment. The results revealed that our proposed process got an average gain of 35.2% in terms of developed function points by reusing 30.63% of reusable artifacts available in the reuse repository.We proposed a hybrid DevOps process with a systematic reuse‐based software development and management process to reduce the effort and cost required for the rework and to increase productivity. DevOps encourage tool support during the software delivery process for quick delivery. Therefore, we have developed a reuse repository to support rapid delivery by reusing artifacts during the development process. A pilot project—a health‐monitoring and management application—was developed to evaluate our proposed hybrid DevOps process. image","software reuse, software development process, DevOps, reuse repository",""
"Conference Paper","Castellanos C,Varela CA,Correal D","Measuring Performance Quality Scenarios in Big Data Analytics Applications: A DevOps and Domain-Specific Model Approach","","2019","","","165–172","Association for Computing Machinery","New York, NY, USA","Proceedings of the 13th European Conference on Software Architecture - Volume 2","Paris, France","2019","9781450371421","","https://doi-org.proxy.bnl.lu/10.1145/3344948.3344986;http://dx.doi.org/10.1145/3344948.3344986","10.1145/3344948.3344986","Big data analytics (BDA) applications use advanced analysis algorithms to extract valuable insights from large, fast, and heterogeneous data sources. These complex BDA applications require software design, development, and deployment strategies to deal with volume, velocity, and variety (3vs) while sustaining expected performance levels. BDA software complexity frequently leads to delayed deployments, longer development cycles and challenging performance monitoring. This paper proposes a DevOps and Domain Specific Model (DSM) approach to design, deploy, and monitor performance Quality Scenarios (QS) in BDA applications. This approach uses high-level abstractions to describe deployment strategies and QS enabling performance monitoring. Our experimentation compares the effort of development, deployment and QS monitoring of BDA applications with two use cases of near mid-air collisions (NMAC) detection. The use cases include different performance QS, processing models, and deployment strategies. Our results show shorter (re)deployment cycles and the fulfillment of latency and deadline QS for micro-batch and batch processing.","software architecture, performance quality scenarios, domain specific model, big data analytics, DevOps","ECSA '19"
"Conference Paper","Abdelkebir S,Maleh Y,Belaissaoui M","An Agile Framework for ITS Management In Organizations: A Case Study Based on DevOps","","2017","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd International Conference on Computing and Wireless Communication Systems","Larache, Morocco","2017","9781450353069","","https://doi-org.proxy.bnl.lu/10.1145/3167486.3167556;http://dx.doi.org/10.1145/3167486.3167556","10.1145/3167486.3167556","Agility means the capability to swiftly and efficiently respond to internal and environmental organization changes. For IT, it is the ability to provide new services and IT solutions to support the innovative business processes. In the ever-changing business world of today, improving agility is the best way to face future challenges. IT service management is the capacity to collect data, analyze, report and implement agile improvements. Successful IT must be efficient and agile to promote the traditional company transformation to a digital enterprise. The propose of this work is a holistic and practical strategic framework to improve ITSM service management processes with the additions of two drivers Agility management based on DevOps, and an agility Process Maturity Framework (APMF). This research will enable decision-makers to improve and measure agility enhancements and hence compare the agility of Information Systems before and after APMF deploying.","IT Service Management, Organization, Agility, DevOps","ICCWCS'17"
