references copy
Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Edition;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Sub-type;Series
Book;Pathania N;Pro Continuous Delivery: With Jenkins 2.0;;2017;;;;1st;Apress;USA;;;;2017;9781484229125;;;;Follow this step-by-step guide for creating a continuous delivery pipeline using all of the new features in Jenkins 2.0 such as Pipeline as a Code, multi-branch pipeline, and more. You will learnthree crucial elements for achieving a faster software delivery pipeline: a fungible build/test environment, manageable and reproducible pipelines, and a scalable build/test infrastructure. Pro Continuous Delivery demonstrates how to create a highly available, active/passive Jenkins server using some niche technologies. What You'll Learn Create a highly available, active/passive Jenkins server using CoreOS and Docker, and using Pacemaker and Corosync Use a Jenkins multi-branch pipeline to automatically perform continuous integration whenever there is a new branch in your source control system Describe your continuous delivery pipeline with Jenkinsfile Host Jenkins server on a cloud solution Run Jenkins inside a container using Docker Discover how the distributed nature of Git and the merge before build feature of Jenkins can be used to implement gated check-in Implement a scalable build farm using Docker and Kubernetes Who This Book Is For You have experience implementing continuous integration and continuous delivery using Jenkins freestyle Jobs and wish to use the new Pipeline as a Code feature introduced in Jenkins 2.0 Yoursource code is on a Git-like version control system (Git, GitHub, GitLab, etc.) and you wish to leverage the advantages of a multi-branch pipeline in Jenkins Your infrastructure is on a Unix-like platform and you wish to create a scalable, distributed build/test farm using Docker or Kubernetes You arein need of a highly available system for your Jenkins Server using open source tools and technologies;;;;
Conference Paper;Shahin M;Architecting for DevOps and Continuous Deployment;;2015;;;147–148;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the ASWEC 2015 24th Australasian Software Engineering Conference;Adelaide, SA, Australia;2015;9781450337960;;"https://doi-org.proxy.bnl.lu/10.1145/2811681.2824996;http://dx.doi.org/10.1145/2811681.2824996";10.1145/2811681.2824996;Development and Operations (DevOps) in the context of Continuous Deployment (CD) have emerged as an attractive software development movement, which tries to establish a strong connection between development and operations teams. CD is defined as the ability to quickly put new releases into production. We believe that DevOps/CD brings new challenges for architects, which considerably impacts both on their (architectural) design decisions and their organizational responsibilities. We assert that there is an important and urgent need of sufficient research work to gain a deep understanding of how DevOps/CD adoption can influence architecting, architectural decision-making processes and their outcomes in an organization. This PhD research is aimed at understanding and addressing new challenges for designing architectures for supporting DevOps in the context of CD.;continuous deployment, DevOps, Software architecture;;;ASWEC ' 15 Vol. II
Book;Fleming S;Continuous Delivery Handbook: Non Programmers Guide to DevOps, Microservices and Kubernetes;;2018;;;;;CreateSpace Independent Publishing Platform;North Charleston, SC, USA;;;;2018;9781727257359;;;;"Are you a non-coder looking for insight into Continuous Delivery with DevOps, Microservices Architecture and Kubernetes?- You may be a Consultant, Advisor, Project Manager or a novice into IT industry; after going through this guide you would be able to appreciate Continuous Delivery through DevOps, Microservices and other related concepts like Kanban, Scrum, Agile, SOA, Monolith Architecture, DevOps, Docker, Kubernetes etc.- This guide will clarify your conceptual queries with case studies, examples and diagrams.- You would also get to know about the leaders in DevOps and Microservices adoption and impact it had on the overall agility and hyper-growth of the adopters. This book covers the complete lifecycle for your understanding like Integrating, Testing, Deploying DevOps and Microservices architecture and the Security concerns while deploying it.- I am confident that after going through the book you would be able to navigate the discussion with any stakeholder and take your agenda ahead as per your role. Additionally, if you are new to the industry, and looking for an application development job, this book will help you to prepare with all the relevant information and understanding of the topic.- So, as Charles Darwin Said It is not the strongest of the species that survive, or the most intelligent, but the one most responsive to change. Be adaptive to the changes in the software Development Industry and ride ahead with Continuous Delivery.- ** I am also providing additional booklet containing all the relevant news, trends, and resources for DevOps and Microservices Architecture.";;;;
Conference Paper;Kärpänoja P,Virtanen A,Lehtonen T,Mikkonen T;Exploring Peopleware in Continuous Delivery;;2016;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Scientific Workshop Proceedings of XP2016;Edinburgh, Scotland, UK;2016;9781450341349;;"https://doi-org.proxy.bnl.lu/10.1145/2962695.2962708;http://dx.doi.org/10.1145/2962695.2962708";10.1145/2962695.2962708;Traditionally, releasing new software has been a fragile and painful procedure. This view has been challenged by a new approach to software deployment, where the goal is to always be able to deploy the system. The transition from manual releases to instant deployments requires a high degree of automation. Furthermore, the transition requires a new mindset, where both developers and operators act together to deliver value to end users. As this process involves humans and cooperation, developers and their attitude towards the new way of working is important. To this end, in this paper we study the developer perspective of applying continuous delivery in the light of interviewing practitioners working for projects where continuous delivery practices are applied. More precisely, we place the focus on how continuous delivery practices affect software developers and what are the prerequisites for achieving continuous delivery. Based on our research, higher quality and other benefits of continuous delivery can be achieved by giving developers more responsibility. Still, the added responsibilities do not necessarily increase stress, but can actually decrease it, and at the same time improve motivation and job satisfaction.;peopleware, lead time, continuous delivery, deployment pipeline, Lean development;;;XP '16 Workshops
Conference Paper;Mäkinen S,Lehtonen T,Kilamo T,Puonti M,Mikkonen T,Männistö T;Revisiting Continuous Deployment Maturity: A Two-Year Perspective;;2019;;;1810–1817;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing;Limassol, Cyprus;2019;9781450359337;;"https://doi-org.proxy.bnl.lu/10.1145/3297280.3297458;http://dx.doi.org/10.1145/3297280.3297458";10.1145/3297280.3297458;Background: Achieving a steady stream of small releases and employing practices such as continuous deployment requires maturity in company processes. Maturity models provide one approach for companies to pinpoint areas of improvement by providing a position and hints to reflect on. Incorporating maturity models with agile software development and continuous deployment has its challenges, though. Aims: The focus of the study is in understanding the evolution of software processes towards continuous deployment in an industry organization over time when a maturity model is used as a yardstick in evaluation. Method: An embedded case study by design, the study utilizes and replicates a survey on the state of software projects in a large Finnish software company, Solita. The survey was initially conducted in 2015 with responses from 35 projects and now replicated in 2017 with responses from 43 projects. Both quantitative and qualitative approaches for survey responses are used in the analysis. Results: Maturity of software processes in the case company show improvement in deployment and in monitoring, albeit short of statistical significance. Technological advances in the application of cloud computing have likely spurred development in these areas. Capability in processes related to test automation and quality has not changed much in two years. Conclusions: Maintaining maturity in software processes requires constant attention as impressions on process quality can gradually diminish. Projects which are built on a compatible technology stack have a greater chance in achieving continuous deployment and thus being more mature. Customer preferences also make a difference in the ability to reach certain maturity levels.;;;;SAC '19
Conference Paper;Savor T,Douglas M,Gentili M,Williams L,Beck K,Stumm M;Continuous Deployment at Facebook and OANDA;;2016;;;21–30;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 38th International Conference on Software Engineering Companion;Austin, Texas;2016;9781450342056;;"https://doi-org.proxy.bnl.lu/10.1145/2889160.2889223;http://dx.doi.org/10.1145/2889160.2889223";10.1145/2889160.2889223;Continuous deployment is the software engineering practice of deploying many small incremental software updates into production, leading to a continuous stream of 10s, 100s, or even 1,000s of deployments per day. High-profile Internet firms such as Amazon, Etsy, Facebook, Flickr, Google, and Netflix have embraced continuous deployment. However, the practice has not been covered in textbooks and no scientific publication has presented an analysis of continuous deployment.In this paper, we describe the continuous deployment practices at two very different firms: Facebook and OANDA. We show that continuous deployment does not inhibit productivity or quality even in the face of substantial engineering team and code size growth. To the best of our knowledge, this is the first study to show it is possible to scale the size of an engineering team by 20X and the size of the code base by 50X without negatively impacting developer productivity or software quality. Our experience suggests that top-level management support of continuous deployment is necessary, and that given a choice, developers prefer faster deployment. We identify elements we feel make continuous deployment viable and present observations from operating in a continuous deployment environment.;;;;ICSE '16
Journal Article;Leppanen M,Makinen S,Pagels M,Eloranta VP,Itkonen J,Mantyla MV,Mannisto T;The Highways and Country Roads to Continuous Deployment;IEEE Softw.;2015;32;2;64–72;;IEEE Computer Society Press;Washington, DC, USA;;;;2015-03;;0740-7459;"https://doi-org.proxy.bnl.lu/10.1109/MS.2015.50;http://dx.doi.org/10.1109/MS.2015.50";10.1109/MS.2015.50;As part of a Finnish research program, researchers interviewed 15 information and communications technology companies to determine the extent to which the companies adopted continuous deployment. They also aimed to find out why continuous deployment is considered beneficial and what the obstacles are to its full adoption. The benefits mentioned the most often were the ability to get faster feedback, the ability to deploy more often to keep customers satisfied, and improved quality and productivity. Despite understanding the benefits, none of the companies adopted a fully automatic deployment pipeline. The companies also had higher continuous-deployment capability than what they practiced. In many cases, they consciously chose to not aim for full continuous deployment. Obstacles to full adoption included domain-imposed restrictions, resistance to change, customer desires, and developers' skill and confidence.;;;;
Conference Paper;Artač M,Borovšak T,Di Nitto E,Guerriero M,Tamburri DA;Model-Driven Continuous Deployment for Quality DevOps;;2016;;;40–41;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2nd International Workshop on Quality-Aware DevOps;Saarbrücken, Germany;2016;9781450344111;;"https://doi-org.proxy.bnl.lu/10.1145/2945408.2945417;http://dx.doi.org/10.1145/2945408.2945417";10.1145/2945408.2945417;DevOps entails a series of software engineering strategies and tools that promise to deliver quality and speed at the same time with little or no additional expense. In our work we strived to enable a DevOps way of working, combining Model-Driven Engineering tenets with the challenges of delivering a model-driven continuous deployment tool that allows quick (re-)deployment of cloud applications for the purpose of continuous improvement. This paper illustrates the DICER tool and elaborates on how it can bring about the DevOps promise and enable the quality-awareness.;Quality-Aware DevOps, Model-Driven Engineering, Continuous Deployment;;;QUDOS 2016
Conference Paper;Chen L;Continuous Delivery at Scale: Challenges and Opportunities;;2018;;;42;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th International Workshop on Rapid Continuous Software Engineering;Gothenburg, Sweden;2018;9781450357456;;"https://doi-org.proxy.bnl.lu/10.1145/3194760.3194764;http://dx.doi.org/10.1145/3194760.3194764";10.1145/3194760.3194764;Continuous Delivery (CD) can bring huge benefits, but implementing CD is challenging. This is particularly true for implementing CD at an ultra-large-scale (across an R&D organization of tens of thousands of staff) for mission critical systems. In this talk, I will present the challenges in implementing CD in such a large scale and discuss the potential research opportunities.;agile software development, continuous deployment, continuous delivery, devops, continuous software engineering;;;RCoSE '18
Conference Paper;Itkonen J,Udd R,Lassenius C,Lehtonen T;Perceived Benefits of Adopting Continuous Delivery Practices;;2016;;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;Ciudad Real, Spain;2016;9781450344272;;"https://doi-org.proxy.bnl.lu/10.1145/2961111.2962627;http://dx.doi.org/10.1145/2961111.2962627";10.1145/2961111.2962627;Context: In continuous delivery, the aim is that every feature passes through the integration and deployment pipeline, resulting in an immediately deployable product. This practice has been proposed to accelerate value delivery, improve software quality and increase developer productivity.Goal: We investigate the adoption of continuous delivery practices and evaluate the related benefits in a single customer-supplier organization. We focus on the perceived benefits of supplier and customer organizations during a five-year transition period.Method: We performed an exploratory case study. We used semi-structured interviews and thematic analysis.Results: Increased communication and collaboration between developers and customer was perceived as one of the core benefits. Other reported benefits were increased productivity, improved product quality, improved developer morale as well as infrastructural independence and organizational agnosticism.Conclusions: The results indicate that the adoption of continuous software engineering practices bring various benefits for both customers and developers, beyond mere increased pace of production deployments.;case study, continuous delivery;;;ESEM '16
Book;Mason S,Blackburn C,Swarts E,Ashton S,Winter D,Foster R,MacDonald R,Morton L,Wood N,Dudhia F;A Field Guide To Continuous Delivery;;2016;;;;;CreateSpace Independent Publishing Platform;North Charleston, SC, USA;;;;2016;9781530121410;;;;For teams of software engineers, it's important to be able to deliver great software reliably and quickly, whilst keeping pain points to an absolute minimum. Contrary to traditional software delivery practices, Continuous Delivery allows teams to get software into the hands of their customers at a much faster rate by encouraging greater communication, more frequent collaboration and by automating as much of your deployment process as possible. Written by the team at Made Tech, this book consists of ten chapters, each of which covers a different facet of Continuous Delivery. Over the course of the book, youll learn: What Continuous Delivery is:Discover how and why it was created, and what it ultimately means to practice Continuous Delivery. What the benefits areContinuous Delivery can impact your business in many different, positive ways, and this book discusses the most significant benefits you'll encounter, from minimising risk during deployments, to bringing new features to market much more quickly. How to prepare your team for the transition to a new way of workingPracticing Continuous Delivery brings with it fundamental changes to the way work is approached, and change can famously be difficult at times. Learn how to deal with the most concerns you'll face. The tools you'll needContinuous Delivery falls under the huge umbrella that is DevOps, so it's important to know which tools you should be looking out for to get you started, and what options you have available. How to setup the most important tool: the pipelineThe pipeline is the backbone of any team that practices Continuous Delivery, and this book will teach you how to build yours from the ground up, from development to production. How to keep quality highGood Continuous Delivery allows you to spend more time writing quality software, and the book details a number of best practices worth adopting that will facilitate great code, from feature toggles to test-driven development. The challenges you may faceA single team adopting Continuous Delivery may find it relatively simple, but an entire organisation will face significantly more challenges. This book will teach you how to overcome those challenges, and how you can keep evolving your Continuous Delivery practices to negate any new problems that may arise.;;;;
Conference Paper;Chen L;Towards Architecting for Continuous Delivery;;2015;;;131–134;;IEEE Computer Society;USA;;Proceedings of the 2015 12th Working IEEE/IFIP Conference on Software Architecture;;2015;9781479919222;;"https://doi-org.proxy.bnl.lu/10.1109/WICSA.2015.23;http://dx.doi.org/10.1109/WICSA.2015.23";10.1109/WICSA.2015.23;Continuous Delivery (CD) has emerged as an auspicious software development discipline, with the promise of providing organizations the capability to release valuable software continuously to customers. Our organization has been implementing CD for the last two years. Thus far, we have moved 22 software applications to CD. I observed that CD has created a new context for architecting these applications. In this paper, I will try to characterize such a context of CD, explain why we need to architect for CD, describe the implications of architecting for CD, and discuss the challenges this new context creates. This information can provide insights to other practitioners for architecting their software applications, and provide researchers with input for developing their research agendas to further study this increasingly important topic.;non-functional requirements, architecturally significant requirements, continuous deployment, software architecture, DevOps, quality attributes, continuous software engineering, continuous delivery;;;WICSA '15
Book Chapter;Pereira IM,Carneiro TG,Figueiredo E;Investigating Continuous Delivery on IoT Systems;;2021;;;;;Association for Computing Machinery;New York, NY, USA;XX Brazilian Symposium on Software Quality;;;2021;9781450395533;;https://doi-org.proxy.bnl.lu/10.1145/3493244.3493261;;IoT systems have continuous delivery challenges related to development, operations, and hardware teams. Therefore, scientific research and industry professionals have investigated approaches to integrate these areas and overcome these challenges. This study investigates how IoT systems projects adapt to perform Continuous Deliveries (CD) through thirty-one semi-structured interviews and a questionnaire with thirty professionals working in these areas. Inspired by grounded theory, we applied open coding to categorize the results of both interview and questionnaire studies. As contributions, we identified differences in IoT systems development compared to traditional development. We also discuss quality practices used in IoT projects that drive continuous delivery and how teams handle the quest for continuous delivery challenges.;;;;
Conference Paper;Yaman SG,Sauvola T,Riungu-Kalliosaari L,Hokkanen L,Kuvaja P,Oivo M,Männistö T;Customer Involvement in Continuous Deployment: A Systematic Literature Review;;2016;;;249–265;;Springer-Verlag;Berlin, Heidelberg;;Proceedings of the 22nd International Working Conference on Requirements Engineering: Foundation for Software Quality - Volume 9619;Gothenburg, Sweden;2016;9783319302812;;"https://doi-org.proxy.bnl.lu/10.1007/978-3-319-30282-9_18;http://dx.doi.org/10.1007/978-3-319-30282-9_18";10.1007/978-3-319-30282-9_18;[Context and motivation] In order to build successful software products and services, customer involvement and an understanding of customers' requirements and behaviours during the development process are essential. [Question/Problem] Although continuous deployment is gaining attention in the software industry as an approach for continuously learning from customers, there is no common overview of the topic yet. [Principal ideas/results] To provide a common overview, we conduct a secondary study that explores the state of reported evidence on customer input during continuous deployment in software engineering, including the potential benefits, challenges, methods and tools of the field. [Contribution] We report on a systematic literature review covering 25 primary studies. Our analysis of these studies reveals that although customer involvement in continuous deployment is highly relevant in the software industry today, it has been relatively unexplored in academic research. The field is seen as beneficial, but there are a number of challenges related to it, such as misperceptions among customers. In addition to providing a comprehensive overview of the research field, we clarify the gaps in knowledge that need to be studied further.;Continuous deployment, User feedback, Customer feedback, User involvement, Customer involvement, Software development, Continuous delivery;;;REFSQ 2016
Journal Article;Parnin C,Helms E,Atlee C,Boughton H,Ghattas M,Glover A,Holman J,Micco J,Murphy B,Savor T,Stumm M,Whitaker S,Williams L;The Top 10 Adages in Continuous Deployment;IEEE Softw.;2017;34;3;86–95;;IEEE Computer Society Press;Washington, DC, USA;;;;2017-05;;0740-7459;"https://doi-org.proxy.bnl.lu/10.1109/MS.2017.86;http://dx.doi.org/10.1109/MS.2017.86";10.1109/MS.2017.86;Continuous deployment involves automatically testing incremental software changes and frequently deploying them to production environments. With it, developers' changes can reach customers in days or even hours. Such ultrafast changes create a new reality in software development. To understand the emerging practices surrounding continuous deployment, researchers facilitated a one-day Continuous Deployment Summit at the Facebook campus in July 2015, at which participants from 10 companies described how they used continuous deployment. From the resulting conversation, the researchers derived 10 adages about continuous-deployment practices. These adages represent a working set of approaches and beliefs that guide current practice and establish a tangible target for empirical validation by the research community.;;;;
Book;Olausson M,Ehn J;Continuous Delivery with Visual Studio ALM 2015;;2015;;;;1st;Apress;USA;;;;2015;9781484212738;;;;This book is the authoritative source on implementing Continuous Delivery practices using Microsofts Visual Studio and TFS 2015. Microsoft MVP authors Mathias Olausson and Jakob Ehn translate the theory behind this methodology and show step by step how to implement Continuous Delivery in a real world environment. Building good software is challenging. Building high-quality software on a tight schedule can be close to impossible. Continuous Delivery is an agile and iterative technique that enables developers to deliver solid, working software in every iteration. Continuous delivery practices help IT organizations reduce risk and potentially become as nimble, agile, and innovative as startups. In this book, you'll learn: What Continuous Delivery is and how to use it to create better software more efficiently using Visual Studio 2015 How to use Team Foundation Server 2015 and Visual Studio Online to plan, design, and implement powerful and reliable deployment pipelines Detailed step-by-step instructions for implementing Continuous Delivery on a real project;;;;
