"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Edition","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Journal Article","Romero EE,Camacho CD,Montenegro CE,Acosta ÓE,Crespo RG,Gaona EE,Martínez MH","Integration of DevOps Practices on a Noise Monitor System with CircleCI and Terraform","ACM Trans. Manage. Inf. Syst.","2021","","","","","Association for Computing Machinery","New York, NY, USA","","","2021-12","","2158-656X","https://doi-org.proxy.bnl.lu/10.1145/3505228;http://dx.doi.org/10.1145/3505228","10.1145/3505228","Lowering pollution levels is one of the main principles of Sustainable Development goals dictated by the United Nations. Consequently, developments on noise monitoring contribute in great manner to this purpose, since they give the opportunity to governments and institutions to maintain track on the matter. While developing a software product for this purpose, with the growth in terms of functional and non-functional requirements, elements such as infrastructure, source code and others also scale up. Consequently if there are not good practices to face the new challenges of the software product, it could become more complex to refactor, maintain and scale, causing a decrease on delivery rate and the quality of the product. DevOps is an emerging concept but still hazy, which involves a set of practices that helps organizations to speed up delivery time, improve software quality and collaboration between teams. The aim of this paper is to document the implementation of some DevOps practices such as IaC, continuous integration and deployment, code quality control and collaboration on a noise monitor system to increase the product quality and automation of deployment. The final result is a set of automated pipelines which represents the entire integration and deployment cycle of the software integrated with platforms to improve quality and maintainability of the software components.","Serverless, DeVOps, Classification, CI/CD, CI/CD, Sound","Just Accepted","",""
"Conference Paper","Yasar H","Implementing Secure DevOps Assessment for Highly Regulated Environments","","2017","","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 12th International Conference on Availability, Reliability and Security","Reggio Calabria, Italy","2017","9781450352574","","https://doi-org.proxy.bnl.lu/10.1145/3098954.3105819;http://dx.doi.org/10.1145/3098954.3105819","10.1145/3098954.3105819","Secure DevOps has become a standard option for entities seeking to streamline and increase comprehensive participation by all stakeholders in their secure Security Development Lifecycle (SDLC)[1]. In most case in industry, academia, and government, applying DevOps is a straight forward process. There is a subset of entities in these three sectors where applying Secure DevOps is challenging. These are entities that are highly regulated (HRE) as mandated by policies for various reasons, the most often being general security and protection of intellectual property. Even if an entity is highly regulated, its secure SDLC can still benefit from implementing DevOps as long as the implementation does not break any policy[2].","DevOps, DevSecOps, Secure DevOps assessment, Security Engineering, AppSec, Highly Regulated Environment, Secure DevOps","","","ARES '17"
"Book","Riti P","Pro DevOps with Google Cloud Platform: With Docker, Jenkins, and Kubernetes","","2018","","","","1st","Apress","USA","","","2018","9781484238967","","","","Use DevOps principles with Google Cloud Platform (GCP) to develop applications and services. This book builds chapter by chapter to a complete real-life scenario, explaining how to build, monitor, and maintain a complete application using DevOps in practice. Starting with core DevOps concepts, continuous integration, and continuous delivery, youll cover common tools including Jenkins, Docker, and Kubernetes in the context of a real microservices application to deploy in the cloud. You will also create a monitor for your cloud and see how to use its data to prevent errors and improve the stability of the system. By the end of Pro DevOps with Google Cloud Platform, you will be able to deploy, maintain, and monitor a real application with GCP. What You Will Learn Build and deploy applications and services using DevOps on Google Cloud Platform Maintain a complete continuous integration (CI) and continuous delivery (CD) pipeline Use containerization with Docker and Kubernetes Carry out CD with GCP and Jenkins Create microservices with Jenkins, Docker, and Kubernetes Monitor your newly deployed application and its deployment and performance Set up security and manage your network with GCP Who This Book Is For Developers and software architects who want to implement DevOps in practice. Some prior programming experience is recommended as well as a basic knowledge of a Linux command-line environment.","","","",""
"Book","Soni M","DevOps Bootcamp: The Fastest Way to Learn DevOps","","2017","","","","","Packt Publishing","","","","2017","9781787285965","","","","Sharpen your DevOps knowledge with DevOps Bootcamp About This Book Improve your organization's performance to ensure smooth production of software and services. Learn how Continuous Integration and Continuous Delivery practices can be utilized to cultivate the DevOps culture. A fast-paced guide filled with illustrations and best practices to help you consistently ship quality software. Who This Book Is ForThe book is aimed at IT Developers and Operations administrators who want to quickly learn and implement the DevOps culture in their organization. What You Will Learn Static Code Analysis using SOnarqube Configure a Maven-based JEE Web Application Perform Continuous Integration using Jenkins and VSTS Install and configure Docker Converge a Chef node using a Chef workstation Accomplish Continuous Delivery in Microsoft Azure VM and Microsoft Azure App Services (Azure Web Apps) using Jenkins Perform Load Testing using Apache JMeterBuild and Release Automation using Visual Studio Team Services Monitor Cloud-based resourcesIn Detail DevOps Bootcamp delivers practical learning modules in manageable chunks. Each chunk is delivered in a day, and each day is a productive one. Each day builds your competency in DevOps. You will be able to take the task you learn every day and apply it to cultivate the DevOps culture. Each chapter presents core concepts and key takeaways about a topic in DevOps and provides a series of hands-on exercises. You will not only learn the importance of basic concepts or practices of DevOps but also how to use different tools to automate application lifecycle management. We will start off by building the foundation of the DevOps concepts. On day two, we will perform Continuous Integration using Jenkins and VSTS both by configuring Maven-based JEE Web Application. We will also integrate Jenkins and Sonar qube for Static Code Analysis. Further, on day three, we will focus on Docker containers where we will install and configure Docker and also create a Tomcat Container to deploy our Java based web application. On day four, we will create and configure the environment for application deployment in AWS and Microsoft Azure Cloud for which we will use Infrastructure as a Service and Open Source Configuration Management tool Chef. For day five, our focus would be on Continuous Delivery. We will automate application deployment in Docker container using Jenkins Plugin, AWS EC2 using Script, AWS Elastic Beanstalk using Jenkins Plugin, Microsoft Azure VM using script, and Microsoft Azure App Services Using Jenkins. We will also configure Continuous Delivery using VSTS. We will then learn the concept of Automated Testing on day six using Apache JMeter and URL-based tests in VSTS. Further, on day seven, we will explore various ways to automate application lifecycle management using orchestration. We will see how Pipeline can be created in Jenkins and VSTS, so the moment Continuous Integration is completed successfully, Continuous Delivery will start and application will be deployed. On the final day, our focus would be on Security access to Jenkins and Monitoring of CI resources, and cloud-based resources in AWS and Microsoft Azure Platform as a Service. Style and Approach This book is all about fast and intensive learning. This means we dont waste time in helping readers get started. The new content is basically about filling in with highly-effective examples to build new things, solving problems in newer and unseen ways, and solving real-world examples.","","","",""
"Book","Swartout P","Continuous Delivery and DevOps A Quickstart Guide: Start Your Journey to Successful Adoption of CD and DevOps, 3rd Edition","","2018","","","","3rd","Packt Publishing","","","","2018","9781788995474","","","","A practical and engaging guide to help map out, plan and navigate through the journey to successful CD and DevOps adoption. Key Features Identify and overcome the issues that stifle the delivery of quality software Learn how Continuous Delivery and DevOps work together with other agile tools Real-world examples, tricks and tips that will help the successful adoption of CD & DevOps Book Description Over the past few years, Continuous Delivery (CD) and DevOps have been in the spotlight in tech media, at conferences, and in boardrooms alike. Many articles and books have been written covering the technical aspects of CD and DevOps, yet the vast majority of the industry doesn't fully understand what they actually are and how, if adopted correctly they can help organizations drastically change the way they deliver value. This book will help you figure out how CD and DevOps can help you to optimize, streamline, and improve the way you work to consistently deliver quality software. In this edition, you'll be introduced to modern tools, techniques, and examples to help you understand what the adoption of CD and DevOps entails. It provides clear and concise insights in to what CD and DevOps are all about, how to go about both preparing for and adopting them, and what quantifiable value they bring. You will be guided through the various stages of adoption, the impact they will have on your business and those working within it, how to overcome common problems, and what to do once CD and DevOps have become truly embedded. Included within this book are some real-world examples, tricks, and tips that will help ease the adoption process and allow you to fully utilize the power of CD and DevOps What you will learn Explore Continuous Delivery and DevOps in depth Discover how CD and DevOps fits in with recent trends such as DataOps, SecOps, pipelines and CI Understand the root causes of the pain points within your existing product delivery process Understand the human elements of CD and DevOps and how intrinsic they are to your success Avoid common traps, pitfalls and hurdles as you implement CD and DevOps Monitor and communicate the relative success of DevOps and CD adoption Extend and reuse CD and DevOps approaches Who this book is for Whether you are a software developer, a system administrator, an agile coach, a product manager, a project manager, a CTO, a VP, a CEO or anyone else involved in software delivery, you will have a common problem which is delivering quality software. This book has been written for anyone and everyone who wants to understand how to regularly deliver quality software to their customers without said pain.","","","",""
"Book","Vehent J","Securing DevOps: Security in the Cloud","","2018","","","","1st","Manning Publications Co.","USA","","","2018","9781617294136","","","","Summary Securing DevOps explores how the techniques of DevOps and security should be applied together to make cloud services safer. This introductory book reviews the latest practices used in securing web applications and their infrastructure and teaches you techniques to integrate security directly into your product. You'll also learn the core concepts of DevOps, such as continuous integration, continuous delivery, and infrastructure as a service. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology An application running in the cloud can benefit from incredible efficiencies, but they come with unique security threats too. A DevOps team's highest priority is understanding those risks and hardening the system against them. About the Book Securing DevOps teaches you the essential techniques to secure your cloud services. Using compelling case studies, it shows you how to build security into automated testing, continuous delivery, and other core DevOps processes. This experience-rich book is filled with mission-critical strategies to protect web applications against attacks, deter fraud attempts, and make your services safer when operating at scale. You'll also learn to identify, assess, and secure the unique vulnerabilities posed by cloud deployments and automation tools commonly used in modern infrastructures. What's inside An approach to continuous security Implementing test-driven security in DevOps Security techniques for cloud services Watching for fraud and responding to incidents Security testing and risk assessment About the Reader Readers should be comfortable with Linux and standard DevOps practices like CI, CD, and unit testing. About the Author Julien Vehent is a security architect and DevOps advocate. He leads the Firefox Operations Security team at Mozilla, and is responsible for the security of Firefox's high-traffic cloud services and public websites.","","","",""
"Conference Paper","Ntentos E,Zdun U,Plakidas K,Meixner S,Geiger S","Metrics for Assessing Architecture Conformance to Microservice Architecture Patterns and Practices","","2020","","","580–596","","Springer-Verlag","Berlin, Heidelberg","Service-Oriented Computing: 18th International Conference, ICSOC 2020, Dubai, United Arab Emirates, December 14–17, 2020, Proceedings","Dubai, United Arab Emirates","2020","9783030653095","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-65310-1_42;http://dx.doi.org/10.1007/978-3-030-65310-1_42","10.1007/978-3-030-65310-1_42","Many contemporary service-based systems follow the microservice approach, particularly in DevOps or continuous delivery contexts. They share a set of important tenets such as independent development and deployment, high releasability, polyglot technology support, and loose coupling. A number of best practices for microservice architectures have been codified as patterns, which embody those tenets. However, no real-world microservices system can support all patterns and practices well, but rather architectural decisions making trade-offs among them are needed. Conformance to the patterns and practices selected in such decisions is hard to ensure and assess automatically, especially in large-scale, complex, and evolving systems. In this work, we propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions in the microservice domain. With this approach we can measure conformance to the patterns and related tenets. We demonstrate and assess the validity and appropriateness of these metrics in performing an assessment of a system’s conformance to patterns through statistical methods.","","","",""
"Conference Paper","Jennings RA,Gannod G","DevOps - Preparing Students for Professional Practice","","2019","","","1–5","","IEEE Press","Covington, KY, USA","2019 IEEE Frontiers in Education Conference (FIE)","","2019","","","https://doi-org.proxy.bnl.lu/10.1109/FIE43999.2019.9028598;http://dx.doi.org/10.1109/FIE43999.2019.9028598","10.1109/FIE43999.2019.9028598","This work in progress paper presents a course on DevOps which is a combination of software development skills and software operations skills. This new course is for sophomores and juniors in the computer science program who want to be prepared for professional software engineering careers. Introduction to DevOps Is a hands-on laboratory course that brings students through Git for source code management, Capybara for automated testing, AWS, Docker, and Ansible for automated virtual machine provisioning and configuration, and Jenkins for Continuous Integration. Unlike our current course offerings which primarily focus on the single developer context in a localized environment, this course prepares students for highly collaborative, team-based projects that use cloud resources to facilitate management of the software deployment pipeline. We developed this course based on feedback from our external advisory board and under consultation from a number of industrial partners. This is complementary to our current offerings in software engineering which focus on Agile software practices. In this paper we describe the core concepts, the design, learning experiences, technologies, and lessons learned through developing and conducting this course. In future work we hope to present student perceptions of learning and provide data collected through direct assessment of student outcomes.","","","",""
"Book","Farcic V","The DevOps 2.1 Toolkit: Docker Swarm","","2017","","","","","Packt Publishing","","","","2017","9781787289703","","","","Viktor Farcic's latest book, The DevOps 2.1 Toolkit: Docker Swarm, shows you how to successfully integrate Docker Swarm into your DevOps toolset. About This Book * Expand your DevOps Toolkit with the DevOps thought leader, Viktor Farcic * Build, test, deploy, and monitor services inside Docker Swarm clusters * Translate your understanding to different hosting providers like AWS, Azure, and DigitalOcean * Go beyond simple deployment to explore how to create a continuous deployment process * Extend the deep understanding you gained from Viktor's DevOps 2.0 Toolkit book Who This Book Is For This book is for professionals interested in the full microservices life cycle combined with continuous deployment and containers. Target audience could be architects who want to know how to design their systems around microservices. It could be DevOps wanting to know how to apply modern configuration management practices and continuously deploy applications packed in containers. It is for developers who would like to take the process back into their hands as well as for managers who would like to gain a better understanding of the process used to deliver software from the beginning to the end. This book is for everyone wanting to know more about the software development life cycle starting from requirements and design, through the development and testing all the way until deployment and post-deployment phases. We'll create the processes taking into account the best practices developed by and for some of the biggest companies. What You Will Learn * Learn all aspects of Docker Swarm from building, testing, deploying, and monitoring services inside Docker Swarm clusters, available since Docker 1.12. * Master the deeper logic of DevOps with Viktor, so that you can successfully apply that logic across any specific set of tools you're working with. * Translate a deep understanding to different hosting providers like AWS, Azure, DigitalOcean, among others. * You'll go beyond simple deployment: you will explore with Viktor how to create a continuous deployment process. Accomplish zero-downtime deployments, and what to do in case of a failover. * Know how to run services at scale, how to monitor the systems, and how to make it heal itself. In Detail Viktor Farcic's latest book, The DevOps 2.1 Toolkit: Docker Swarm, takes you deeper into one of the major subjects of his international best seller, The DevOps 2.0 Toolkit, and shows you how to successfully integrate Docker Swarm into your DevOps toolset. Viktor shares with you his expert knowledge in all aspects of building, testing, deploying, and monitoring services inside Docker Swarm clusters. You'll go through all the tools required for running a cluster. You'll travel through the whole process with clusters running locally on a laptop. Once you're confident with that outcome, Viktor shows you how to translate your experience to different hosting providers like AWS, Azure, and DigitalOcean. Viktor has updated his DevOps 2.0 framework in this book to use the latest and greatest features and techniques introduced in Docker. We'll go through many practices and even more tools. While there will be a lot of theory, this is a hands-on book. You won't be able to complete it by reading it on the metro on your way to work. You'll have to read this book while in front of the computer and get your hands dirty. Style and approach We'll go through many practices and even more tools. While there will be a lot of theory, this is a hands-on book. You'll have to read this book while in front of the computer and get your hands dirty. The goal is not to master one particular set of tools, but to learn the logic behind them so that you can apply it to your job in various contexts.","","","",""
"Book","Baier J","Getting Started with Kubernetes","","2015","","","","","Packt Publishing","","","","2015","9781784394035","","","","Orchestrate and manage large-scale Docker deployments with Kubernetes to unlock greater control over your infrastructure and extend your containerization strategyAbout This BookLearn the fundamentals of Kubernetes how it works, and how it fits into the growing containerization trendIntegrate Kubernetes into your workflow alongside continuous delivery tools to address today's operational challengesGet to grips with a wide range of tools to help you monitor and secure your deploymentsWho This Book Is ForIf you have some experience with Docker and want to get more from containerization, this book is the perfect place to start. Focused on helping you take control of your deployments in a simple way, you'll soon find out how to transform your operations for greater organizational and technical agility.What You Will LearnDownload, install, and configure the latest version of KubernetesPerform smooth updates and patches with minimal downtimeStreamline the way you deploy and manage your applications with large-scale container orchestrationFind out how Kubernetes can simplify the way you configure your clusters and networksLearn why the Open Container initiative is so important for the way you manage your infrastructureDiscover third-party tools that can enhance your production operationsExplore and use the most persistent storage options for your clusterterIntegrate Kubernetes with continuous delivery tools such as Gulp and JenkinsIn DetailKubernetes is the tool that's pushing the containerization revolution largely driven by Docker to another level. If Docker has paved the way for greater agility and control in the way we organize and manage our infrastructure, Kubernetes goes further, by helping you to orchestrate and automate container deployments on a massive scale. Kubernetes really does think big and it's time you did too!This book will show you how to start doing exactly that, showing you how to extend the opportunities that containerization innovations have brought about in new and even more effective ways. Get started with the basics - explore the fundamental elements of Kubernetes and find out how to install it on your system, before digging a little deeper into Kubernetes core constructs. Find out how to use Kubernetes pods, services, replication controllers, and labels to manage your clusters effectively and learn how to handle networking with Kubernetes.Once you've got to grips with these core components, you'll begin to see how Kubernetes fits into your workflow. From basic updates to integrating Kubernetes with continuous delivery tools such as Jenkins and Gulp, the book demonstrates exactly how Kubernetes will transform the way you work. With further insights on how to install monitoring and security tools, this book provides you with a direct route through Kubernetes so you can take advantage of it, fast!Style and approachThis straightforward guide will help you understand how to move your container applications into production through best practices and step by step walkthroughs tied to real-world operational strategies.","","","",""
"Conference Paper","Adi Prakoso B,Kuswardono Budiardjo E","The Usage of Agile Adoption Framework to Assess Scrum Process and Recommend Improvements","","2021","","","28–32","","Association for Computing Machinery","New York, NY, USA","2021 The 4th International Conference on Software Engineering and Information Management","Yokohama, Japan","2021","9781450388955","","https://doi-org.proxy.bnl.lu/10.1145/3451471.3451476;http://dx.doi.org/10.1145/3451471.3451476","10.1145/3451471.3451476","The Scrum framework is based on the values, principles, and practices that form the foundation for organizations to work. This case study examines an Indonesia-based technology on implementing software development using Scrum. The goal is to assess the process and recommend improvements so XYZ Company can achieve better results at delivering products and services using Scrum. Agile Adoption Framework is used as the assessment framework, evaluating 3 teams represented by its Manager, Product Owner, and Developers. Indicator assessment is done by using data collection methods such as questionnaires or observations. The assessment result shows that XYZ Company achieves Level 2, and the teams achieve Level 2, 4, and 5 respectively. Furthermore, 7 agile practices need improvements, such as evolutionary requirements, continuous delivery, risk-driven iterations, low process ceremony, agile project estimation, pair programming, and test-driven development.","Agile Adoption Framework, software development, software process improvement, software","","","ICSIM 2021"
"Conference Paper","Kazerouni AM","Toward Continuous Assessment of the Programming Process","","2019","","","335–336","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2019 ACM Conference on International Computing Education Research","Toronto ON, Canada","2019","9781450361859","","https://doi-org.proxy.bnl.lu/10.1145/3291279.3339429;http://dx.doi.org/10.1145/3291279.3339429","10.1145/3291279.3339429","Assessment of software tends to focus on postmortem evaluation of metrics like correctness, mergeability, and code coverage. This is evidenced in the current practices of continuous integration and deployment that focus on software's ability to pass unit tests before it can be merged into a deployment pipeline. However, little attention or tooling is given to the assessment of the software development process itself. Good process becomes both more challenging and more critical as software complexity increases. Real-time evaluation and feedback about a student's software development skills, such as incremental development, testing, and time management, could greatly increase productivity and improve the ability to write tested and correct code. In my research, I develop models to quantify a student's programming process in terms of these metrics. By measuring the programming process, I can empirically evaluate its adherence to known best practices in software engineering. With the ability to characterize this, I can build tools to provide them with intelligent and timely feedback when they are in danger of straying from those practices. In the long term, I hope to contribute to the standardization and adoption of continuous software assessment techniques that include not only the final product, but also the process undertaken to produce it.","software testing, procrastination, incremental development","","","ICER '19"
"Conference Paper","Kazerouni AM","Toward Continuous Assessment of the Programming Process: (Abstract Only)","","2018","","","272","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 49th ACM Technical Symposium on Computer Science Education","Baltimore, Maryland, USA","2018","9781450351034","","https://doi-org.proxy.bnl.lu/10.1145/3159450.3162337;http://dx.doi.org/10.1145/3159450.3162337","10.1145/3159450.3162337","Assessment of software tends to focus on postmortem evaluation of metrics like correctness, mergeability, and code coverage. This is evidenced in the current practices of continuous integration and deployment that focus on software's ability to pass unit tests before it can be merged into a deployment pipeline. However, little attention or tooling is given to the assessment of the software development process itself. Good process becomes both more challenging and more critical as software complexity increases. Real-time evaluation and feedback about a software developer's skills, such as incremental development, testing, and time management, could greatly increase productivity and improve the ability to write tested andcorrect code. My work focuses on the collection and analysis of fine-grained programming process data to help quantitatively model the programming process in terms of these metrics. I report on my research problem, presenting past work involving the collection and analysis of IDE event data from junior level students working on large and complex projects. The goal is to quantify the programming process in terms of incremental development and procrastination. I also present a long-term vision for my research and present work planned in the short term as a step toward that vision.","programming process, educational data mining, testing behavior, repository mining","","","SIGCSE '18"
"Journal Article","Royce W,Cantor M","Economic Governance of Software Delivery","IEEE Softw.","2014","31","1","54–61","","IEEE Computer Society Press","Washington, DC, USA","","","2014-01","","0740-7459","https://doi-org.proxy.bnl.lu/10.1109/MS.2013.102;http://dx.doi.org/10.1109/MS.2013.102","10.1109/MS.2013.102","Agility without objective governance cannot scale, and governance without agility cannot compete. Agile methods are mainstream, and software enterprises are adopting these practices in diverse delivery contexts and at enterprise scale. IBM's broad industry experience with agile transformations and deep internal know-how point to two key principles to deliver sustained improvements in software business outcomes with higher confidence: measure and streamline change costs, and steer with economic governance and Bayesian analytics. Applying these two principles in context is the crux of measured improvement in continuous delivery of smarter software-intensive systems. This article describes more meaningful measurement and prediction foundations for economic governance. The Web extra at http://youtu.be/ghAM8ifyeVI is a video in which Walker Royce, author, IEEE Software editorial board member, and IBM Chief Software Economist, describes how to reason about software delivery governance with lean principles.","measuring agility, steering leadership, Bayes methods, Bayesian analytics, Cognition, Economics, Software quality, Uncertainty, economic governance, Measurement uncertainty","","",""
"Journal Article","Perez-Palacin D,Merseguer J,Requeno JI,Guerriero M,Di Nitto E,Tamburri DA","A UML Profile for the Design, Quality Assessment and Deployment of Data-Intensive Applications","Softw. Syst. Model.","2019","18","6","3577–3614","","Springer-Verlag","Berlin, Heidelberg","","","2019-12","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-019-00730-3;http://dx.doi.org/10.1007/s10270-019-00730-3","10.1007/s10270-019-00730-3","Big Data or Data-Intensive applications (DIAs) seek to mine, manipulate, extract or otherwise exploit the potential intelligence hidden behind Big Data. However, several practitioner surveys remark that DIAs potential is still untapped because of very difficult and costly design, quality assessment and continuous refinement. To address the above shortcoming, we propose the use of a UML domain-specific modeling language or profile specifically tailored to support the design, assessment and continuous deployment of DIAs. This article illustrates our DIA-specific profile and outlines its usage in the context of DIA performance engineering and deployment. For DIA performance engineering, we rely on the Apache Hadoop technology, while for DIA deployment, we leverage the TOSCA language. We conclude that the proposed profile offers a powerful language for data-intensive software and systems modeling, quality evaluation and automated deployment of DIAs on private or public clouds.","Profile, Apache Hadoop, Big Data, TOSCA language, Performance assessment, Data-intensive applications, UML, Model-driven deployment, Software design","","",""
"Book","Smart JF","Jenkins: The Definitive Guide","","2011","","","","","O'Reilly Media, Inc.","","","","2011","9781449305352","","","","Streamline software development with Jenkins, the popular Java-based open source tool that has revolutionized the way teams think about Continuous Integration (CI). This complete guide shows you how to automate your build, integration, release, and deployment processes with Jenkinsand demonstrates how CI can save you time, money, and many headaches. Ideal for developers, software architects, and project managers, Jenkins: The Definitive Guide is both a CI tutorial and a comprehensive Jenkins reference. Through its wealth of best practices and real-world tips, you'll discover how easy it is to set up a CI service with Jenkins. Learn how to install, configure, and secure your Jenkins server Organize and monitor general-purpose build jobs Integrate automated tests to verify builds, and set up code quality reporting Establish effective team notification strategies and techniques Configure build pipelines, parameterized jobs, matrix builds, and other advanced jobs Manage a farm of Jenkins servers to run distributed builds Implement automated deployment and continuous delivery","","","",""
"Conference Paper","Bisegna A,Carbone R,Ranise S","Integrating A Pentesting Tool For IdM Protocols In A Continuous Delivery Pipeline","","2021","","","94–110","","Springer-Verlag","Berlin, Heidelberg","Emerging Technologies for Authorization and Authentication: 4th International Workshop, ETAA 2021, Darmstadt, Germany, October 8, 2021, Revised Selected Papers","Darmstadt, Germany","2021","9783030937461","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-93747-8_7;http://dx.doi.org/10.1007/978-3-030-93747-8_7","10.1007/978-3-030-93747-8_7","Identity Management (IdM) solutions are increasingly important for digital infrastructures of both enterprises and public administrations. Their security is a mandatory prerequisite for building trust in current and future digital ecosystems. IdM solutions are usually large-scale complex software systems maintained and developed by several groups of ICT professionals. Continuous Delivery (CD) pipeline is adopted to make maintenance, extension, and deployment of such solutions as efficient and repeatable as possible. For security, CD pipeline is also used as a continuous risk assessment to quickly evaluate the security impact of changes. Several tools have been developed and integrated in the CD pipeline to support this view in the so called DevSecOps approach with the notable exception of a tool for protocol pentesting and compliance against standards such as SAML 2.0, OAuth 2.0 and OpenID Connect. To fill this gap, we propose an approach to integrate Micro-Id-Gym—a tool for the automated pentesting of IdM deployments—in a CD pipeline. We report our experience in doing this and discuss the advantages of using the tool in the context of a joint effort with Poligrafico e Zecca dello Stato Italiano to build a digital identity infrastructure.","","","",""
"Conference Paper","Zhou P,Ali Khan AA,Liang P,Badshah S","System and Software Processes in Practice: Insights from Chinese Industry","","2021","","","394–401","","Association for Computing Machinery","New York, NY, USA","Evaluation and Assessment in Software Engineering","Trondheim, Norway","2021","9781450390538","","https://doi-org.proxy.bnl.lu/10.1145/3463274.3463786;http://dx.doi.org/10.1145/3463274.3463786","10.1145/3463274.3463786","Software development processes play a key role in the software and system development life cycle. Processes are becoming complex and evolve rapidly due to the modern-day continuous software engineering (CSE) concepts, which are mainly based on continuous integration, continuous delivery, infrastructure-as-code, automation and more. The fast growing Chinese software development industry adopts various processes to achieve potential benefits offered in the international market. This study is conducted with the aim to investigate the trends of processes in practice in the Chinese industry. The survey questionnaire data is collected from 34 practitioners working in software development firms across the China and the results highlight that iterative and agile processes are extensively used in industrial setting. Furthermore, agile and traditional approaches are combined to develop the hybrid processes. Most of the participants are satisfied using the current development processes, however, they show interest to continuously improve the existing process models and methods. Finally, we noticed that majority of the software development organizations used the ISO 9001 standard for process assessment and improvement activities. The given results provide preliminary overview of processes deployed in the Chinese industry.","Process Improvement Standards, Survey, Chinese industry, Software processes","","","EASE 2021"
"Conference Paper","Veeraragavan NR,Montecchi L,Nostro N,Bondavalli A,Vitenberg R,Meling H","Understanding the Quality of Experience in Modern Distributed Interactive Multimedia Applications in Presence of Failures: Metrics and Analysis","","2013","","","439–446","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 28th Annual ACM Symposium on Applied Computing","Coimbra, Portugal","2013","9781450316569","","https://doi-org.proxy.bnl.lu/10.1145/2480362.2480450;http://dx.doi.org/10.1145/2480362.2480450","10.1145/2480362.2480450","Recent technological advances have made it possible to design bandwidth demanding distributed interactive multimedia applications such as the World Opera application. In this application artists from different opera houses across the globe, can participate in a single united performance and interact almost as if they were co-located.One of the main design challenges in this application domain is to determine the composition of system components necessary to satisfy the desired quality of service in presence of failures and budget constraints. This challenge is exacerbated by the fact that quality of service depends on a multitude of factors such as human perception of video and audio, the type of audience, performance elements, etc. These factors cannot be captured by traditional approaches for dependability evaluation such as reliability, i.e., continuous delivery of correct service. This calls for developing a more comprehensive ""Quality of Experience"" concept.In this paper, we propose a novel method to assess the quality of experience in presence of failures, based on a new metric called perceived reliability. This method can help the system designers and engineers compare architectural variants and to determine the dependability budget. We show the feasibility of our method by applying it to a World Opera performance. Our experimental results provide useful guidelines for system engineers towards improving the quality of experience of World Opera performances despite presence of failures.","reliability analysis, quality of experience, world opera, distributed interactive multimedia applications","","","SAC '13"
"Journal Article","Sabau AR,Hacks S,Steffens A","Implementation of a Continuous Delivery Pipeline for Enterprise Architecture Model Evolution","Softw. Syst. Model.","2021","20","1","117–145","","Springer-Verlag","Berlin, Heidelberg","","","2021-02","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-020-00828-z;http://dx.doi.org/10.1007/s10270-020-00828-z","10.1007/s10270-020-00828-z","The discipline of enterprise architecture (EA) is an established approach to model and manage the interaction of business processes and IT in an organization. Thereby, the EA model as a central artifact of EA is subject to a continuous evolution caused by multiple sources of changes. The continuous evolution requires a lot of effort in controlling and managing the evolution of the EA model. This is especially true when merging the induced changes from different sources in the EA model. Additionally, the lack of tool and automation support makes this a very time-consuming and error-prone task. The evolutionary character and the automated quality assessment of artifacts is a well-known challenge in the software development domain as well. To meet these challenges, the discipline of continuous delivery (CD) has emerged to be very useful. The evolution of EA model artifacts shows similarities to the evolution of software artifacts. Therefore, we leveraged practices of CD to practices of EA maintenance. Thus, we created a conceptual framework for automated EA model maintenance. The concepts were realized in a first prototype and were evaluated in a fictitious case study against equivalence classes based on EA model metrics and a set of several requirements for automated EA model maintenance from research. Overall, the concepts prove to be a promising basis for further refinement, implementation, and evaluation in research in an industrial context.","Enterprise architecture model maintenance, Continuous delivery, Enterprise architecture model evolution","","",""
