"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Edition","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Sub-type","Series"
"Book","Riti P","Pro DevOps with Google Cloud Platform: With Docker, Jenkins, and Kubernetes","","2018","","","","1st","Apress","USA","","","2018","9781484238967","","","","Use DevOps principles with Google Cloud Platform (GCP) to develop applications and services. This book builds chapter by chapter to a complete real-life scenario, explaining how to build, monitor, and maintain a complete application using DevOps in practice. Starting with core DevOps concepts, continuous integration, and continuous delivery, youll cover common tools including Jenkins, Docker, and Kubernetes in the context of a real microservices application to deploy in the cloud. You will also create a monitor for your cloud and see how to use its data to prevent errors and improve the stability of the system. By the end of Pro DevOps with Google Cloud Platform, you will be able to deploy, maintain, and monitor a real application with GCP. What You Will Learn Build and deploy applications and services using DevOps on Google Cloud Platform Maintain a complete continuous integration (CI) and continuous delivery (CD) pipeline Use containerization with Docker and Kubernetes Carry out CD with GCP and Jenkins Create microservices with Jenkins, Docker, and Kubernetes Monitor your newly deployed application and its deployment and performance Set up security and manage your network with GCP Who This Book Is For Developers and software architects who want to implement DevOps in practice. Some prior programming experience is recommended as well as a basic knowledge of a Linux command-line environment.","","",""
"Book","Soni M","DevOps Bootcamp: The Fastest Way to Learn DevOps","","2017","","","","","Packt Publishing","","","","2017","9781787285965","","","","Sharpen your DevOps knowledge with DevOps Bootcamp About This Book Improve your organization's performance to ensure smooth production of software and services. Learn how Continuous Integration and Continuous Delivery practices can be utilized to cultivate the DevOps culture. A fast-paced guide filled with illustrations and best practices to help you consistently ship quality software. Who This Book Is ForThe book is aimed at IT Developers and Operations administrators who want to quickly learn and implement the DevOps culture in their organization. What You Will Learn Static Code Analysis using SOnarqube Configure a Maven-based JEE Web Application Perform Continuous Integration using Jenkins and VSTS Install and configure Docker Converge a Chef node using a Chef workstation Accomplish Continuous Delivery in Microsoft Azure VM and Microsoft Azure App Services (Azure Web Apps) using Jenkins Perform Load Testing using Apache JMeterBuild and Release Automation using Visual Studio Team Services Monitor Cloud-based resourcesIn Detail DevOps Bootcamp delivers practical learning modules in manageable chunks. Each chunk is delivered in a day, and each day is a productive one. Each day builds your competency in DevOps. You will be able to take the task you learn every day and apply it to cultivate the DevOps culture. Each chapter presents core concepts and key takeaways about a topic in DevOps and provides a series of hands-on exercises. You will not only learn the importance of basic concepts or practices of DevOps but also how to use different tools to automate application lifecycle management. We will start off by building the foundation of the DevOps concepts. On day two, we will perform Continuous Integration using Jenkins and VSTS both by configuring Maven-based JEE Web Application. We will also integrate Jenkins and Sonar qube for Static Code Analysis. Further, on day three, we will focus on Docker containers where we will install and configure Docker and also create a Tomcat Container to deploy our Java based web application. On day four, we will create and configure the environment for application deployment in AWS and Microsoft Azure Cloud for which we will use Infrastructure as a Service and Open Source Configuration Management tool Chef. For day five, our focus would be on Continuous Delivery. We will automate application deployment in Docker container using Jenkins Plugin, AWS EC2 using Script, AWS Elastic Beanstalk using Jenkins Plugin, Microsoft Azure VM using script, and Microsoft Azure App Services Using Jenkins. We will also configure Continuous Delivery using VSTS. We will then learn the concept of Automated Testing on day six using Apache JMeter and URL-based tests in VSTS. Further, on day seven, we will explore various ways to automate application lifecycle management using orchestration. We will see how Pipeline can be created in Jenkins and VSTS, so the moment Continuous Integration is completed successfully, Continuous Delivery will start and application will be deployed. On the final day, our focus would be on Security access to Jenkins and Monitoring of CI resources, and cloud-based resources in AWS and Microsoft Azure Platform as a Service. Style and Approach This book is all about fast and intensive learning. This means we dont waste time in helping readers get started. The new content is basically about filling in with highly-effective examples to build new things, solving problems in newer and unseen ways, and solving real-world examples.","","",""
"Book","Swartout P","Continuous Delivery and DevOps A Quickstart Guide: Start Your Journey to Successful Adoption of CD and DevOps, 3rd Edition","","2018","","","","3rd","Packt Publishing","","","","2018","9781788995474","","","","A practical and engaging guide to help map out, plan and navigate through the journey to successful CD and DevOps adoption. Key Features Identify and overcome the issues that stifle the delivery of quality software Learn how Continuous Delivery and DevOps work together with other agile tools Real-world examples, tricks and tips that will help the successful adoption of CD & DevOps Book Description Over the past few years, Continuous Delivery (CD) and DevOps have been in the spotlight in tech media, at conferences, and in boardrooms alike. Many articles and books have been written covering the technical aspects of CD and DevOps, yet the vast majority of the industry doesn't fully understand what they actually are and how, if adopted correctly they can help organizations drastically change the way they deliver value. This book will help you figure out how CD and DevOps can help you to optimize, streamline, and improve the way you work to consistently deliver quality software. In this edition, you'll be introduced to modern tools, techniques, and examples to help you understand what the adoption of CD and DevOps entails. It provides clear and concise insights in to what CD and DevOps are all about, how to go about both preparing for and adopting them, and what quantifiable value they bring. You will be guided through the various stages of adoption, the impact they will have on your business and those working within it, how to overcome common problems, and what to do once CD and DevOps have become truly embedded. Included within this book are some real-world examples, tricks, and tips that will help ease the adoption process and allow you to fully utilize the power of CD and DevOps What you will learn Explore Continuous Delivery and DevOps in depth Discover how CD and DevOps fits in with recent trends such as DataOps, SecOps, pipelines and CI Understand the root causes of the pain points within your existing product delivery process Understand the human elements of CD and DevOps and how intrinsic they are to your success Avoid common traps, pitfalls and hurdles as you implement CD and DevOps Monitor and communicate the relative success of DevOps and CD adoption Extend and reuse CD and DevOps approaches Who this book is for Whether you are a software developer, a system administrator, an agile coach, a product manager, a project manager, a CTO, a VP, a CEO or anyone else involved in software delivery, you will have a common problem which is delivering quality software. This book has been written for anyone and everyone who wants to understand how to regularly deliver quality software to their customers without said pain.","","",""
"Book","Vehent J","Securing DevOps: Security in the Cloud","","2018","","","","1st","Manning Publications Co.","USA","","","2018","9781617294136","","","","Summary Securing DevOps explores how the techniques of DevOps and security should be applied together to make cloud services safer. This introductory book reviews the latest practices used in securing web applications and their infrastructure and teaches you techniques to integrate security directly into your product. You'll also learn the core concepts of DevOps, such as continuous integration, continuous delivery, and infrastructure as a service. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology An application running in the cloud can benefit from incredible efficiencies, but they come with unique security threats too. A DevOps team's highest priority is understanding those risks and hardening the system against them. About the Book Securing DevOps teaches you the essential techniques to secure your cloud services. Using compelling case studies, it shows you how to build security into automated testing, continuous delivery, and other core DevOps processes. This experience-rich book is filled with mission-critical strategies to protect web applications against attacks, deter fraud attempts, and make your services safer when operating at scale. You'll also learn to identify, assess, and secure the unique vulnerabilities posed by cloud deployments and automation tools commonly used in modern infrastructures. What's inside An approach to continuous security Implementing test-driven security in DevOps Security techniques for cloud services Watching for fraud and responding to incidents Security testing and risk assessment About the Reader Readers should be comfortable with Linux and standard DevOps practices like CI, CD, and unit testing. About the Author Julien Vehent is a security architect and DevOps advocate. He leads the Firefox Operations Security team at Mozilla, and is responsible for the security of Firefox's high-traffic cloud services and public websites.","","",""
"Conference Paper","Ntentos E,Zdun U,Plakidas K,Meixner S,Geiger S","Metrics for Assessing Architecture Conformance to Microservice Architecture Patterns and Practices","","2020","","","580–596","","Springer-Verlag","Berlin, Heidelberg","Service-Oriented Computing: 18th International Conference, ICSOC 2020, Dubai, United Arab Emirates, December 14–17, 2020, Proceedings","Dubai, United Arab Emirates","2020","9783030653095","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-65310-1_42;http://dx.doi.org/10.1007/978-3-030-65310-1_42","10.1007/978-3-030-65310-1_42","Many contemporary service-based systems follow the microservice approach, particularly in DevOps or continuous delivery contexts. They share a set of important tenets such as independent development and deployment, high releasability, polyglot technology support, and loose coupling. A number of best practices for microservice architectures have been codified as patterns, which embody those tenets. However, no real-world microservices system can support all patterns and practices well, but rather architectural decisions making trade-offs among them are needed. Conformance to the patterns and practices selected in such decisions is hard to ensure and assess automatically, especially in large-scale, complex, and evolving systems. In this work, we propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions in the microservice domain. With this approach we can measure conformance to the patterns and related tenets. We demonstrate and assess the validity and appropriateness of these metrics in performing an assessment of a system’s conformance to patterns through statistical methods.","","",""
"Conference Paper","Jennings RA,Gannod G","DevOps - Preparing Students for Professional Practice","","2019","","","1–5","","IEEE Press","Covington, KY, USA","2019 IEEE Frontiers in Education Conference (FIE)","","2019","","","https://doi-org.proxy.bnl.lu/10.1109/FIE43999.2019.9028598;http://dx.doi.org/10.1109/FIE43999.2019.9028598","10.1109/FIE43999.2019.9028598","This work in progress paper presents a course on DevOps which is a combination of software development skills and software operations skills. This new course is for sophomores and juniors in the computer science program who want to be prepared for professional software engineering careers. Introduction to DevOps Is a hands-on laboratory course that brings students through Git for source code management, Capybara for automated testing, AWS, Docker, and Ansible for automated virtual machine provisioning and configuration, and Jenkins for Continuous Integration. Unlike our current course offerings which primarily focus on the single developer context in a localized environment, this course prepares students for highly collaborative, team-based projects that use cloud resources to facilitate management of the software deployment pipeline. We developed this course based on feedback from our external advisory board and under consultation from a number of industrial partners. This is complementary to our current offerings in software engineering which focus on Agile software practices. In this paper we describe the core concepts, the design, learning experiences, technologies, and lessons learned through developing and conducting this course. In future work we hope to present student perceptions of learning and provide data collected through direct assessment of student outcomes.","","",""
"Book","Farcic V","The DevOps 2.1 Toolkit: Docker Swarm","","2017","","","","","Packt Publishing","","","","2017","9781787289703","","","","Viktor Farcic's latest book, The DevOps 2.1 Toolkit: Docker Swarm, shows you how to successfully integrate Docker Swarm into your DevOps toolset. About This Book * Expand your DevOps Toolkit with the DevOps thought leader, Viktor Farcic * Build, test, deploy, and monitor services inside Docker Swarm clusters * Translate your understanding to different hosting providers like AWS, Azure, and DigitalOcean * Go beyond simple deployment to explore how to create a continuous deployment process * Extend the deep understanding you gained from Viktor's DevOps 2.0 Toolkit book Who This Book Is For This book is for professionals interested in the full microservices life cycle combined with continuous deployment and containers. Target audience could be architects who want to know how to design their systems around microservices. It could be DevOps wanting to know how to apply modern configuration management practices and continuously deploy applications packed in containers. It is for developers who would like to take the process back into their hands as well as for managers who would like to gain a better understanding of the process used to deliver software from the beginning to the end. This book is for everyone wanting to know more about the software development life cycle starting from requirements and design, through the development and testing all the way until deployment and post-deployment phases. We'll create the processes taking into account the best practices developed by and for some of the biggest companies. What You Will Learn * Learn all aspects of Docker Swarm from building, testing, deploying, and monitoring services inside Docker Swarm clusters, available since Docker 1.12. * Master the deeper logic of DevOps with Viktor, so that you can successfully apply that logic across any specific set of tools you're working with. * Translate a deep understanding to different hosting providers like AWS, Azure, DigitalOcean, among others. * You'll go beyond simple deployment: you will explore with Viktor how to create a continuous deployment process. Accomplish zero-downtime deployments, and what to do in case of a failover. * Know how to run services at scale, how to monitor the systems, and how to make it heal itself. In Detail Viktor Farcic's latest book, The DevOps 2.1 Toolkit: Docker Swarm, takes you deeper into one of the major subjects of his international best seller, The DevOps 2.0 Toolkit, and shows you how to successfully integrate Docker Swarm into your DevOps toolset. Viktor shares with you his expert knowledge in all aspects of building, testing, deploying, and monitoring services inside Docker Swarm clusters. You'll go through all the tools required for running a cluster. You'll travel through the whole process with clusters running locally on a laptop. Once you're confident with that outcome, Viktor shows you how to translate your experience to different hosting providers like AWS, Azure, and DigitalOcean. Viktor has updated his DevOps 2.0 framework in this book to use the latest and greatest features and techniques introduced in Docker. We'll go through many practices and even more tools. While there will be a lot of theory, this is a hands-on book. You won't be able to complete it by reading it on the metro on your way to work. You'll have to read this book while in front of the computer and get your hands dirty. Style and approach We'll go through many practices and even more tools. While there will be a lot of theory, this is a hands-on book. You'll have to read this book while in front of the computer and get your hands dirty. The goal is not to master one particular set of tools, but to learn the logic behind them so that you can apply it to your job in various contexts.","","",""
"Conference Paper","Adi Prakoso B,Kuswardono Budiardjo E","The Usage of Agile Adoption Framework to Assess Scrum Process and Recommend Improvements","","2021","","","28–32","","Association for Computing Machinery","New York, NY, USA","2021 The 4th International Conference on Software Engineering and Information Management","Yokohama, Japan","2021","9781450388955","","https://doi-org.proxy.bnl.lu/10.1145/3451471.3451476;http://dx.doi.org/10.1145/3451471.3451476","10.1145/3451471.3451476","The Scrum framework is based on the values, principles, and practices that form the foundation for organizations to work. This case study examines an Indonesia-based technology on implementing software development using Scrum. The goal is to assess the process and recommend improvements so XYZ Company can achieve better results at delivering products and services using Scrum. Agile Adoption Framework is used as the assessment framework, evaluating 3 teams represented by its Manager, Product Owner, and Developers. Indicator assessment is done by using data collection methods such as questionnaires or observations. The assessment result shows that XYZ Company achieves Level 2, and the teams achieve Level 2, 4, and 5 respectively. Furthermore, 7 agile practices need improvements, such as evolutionary requirements, continuous delivery, risk-driven iterations, low process ceremony, agile project estimation, pair programming, and test-driven development.","Agile Adoption Framework, software development, software, software process improvement","","ICSIM 2021"
"Conference Paper","Kazerouni AM","Toward Continuous Assessment of the Programming Process","","2019","","","335–336","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2019 ACM Conference on International Computing Education Research","Toronto ON, Canada","2019","9781450361859","","https://doi-org.proxy.bnl.lu/10.1145/3291279.3339429;http://dx.doi.org/10.1145/3291279.3339429","10.1145/3291279.3339429","Assessment of software tends to focus on postmortem evaluation of metrics like correctness, mergeability, and code coverage. This is evidenced in the current practices of continuous integration and deployment that focus on software's ability to pass unit tests before it can be merged into a deployment pipeline. However, little attention or tooling is given to the assessment of the software development process itself. Good process becomes both more challenging and more critical as software complexity increases. Real-time evaluation and feedback about a student's software development skills, such as incremental development, testing, and time management, could greatly increase productivity and improve the ability to write tested and correct code. In my research, I develop models to quantify a student's programming process in terms of these metrics. By measuring the programming process, I can empirically evaluate its adherence to known best practices in software engineering. With the ability to characterize this, I can build tools to provide them with intelligent and timely feedback when they are in danger of straying from those practices. In the long term, I hope to contribute to the standardization and adoption of continuous software assessment techniques that include not only the final product, but also the process undertaken to produce it.","software testing, incremental development, procrastination","","ICER '19"
"Conference Paper","Kazerouni AM","Toward Continuous Assessment of the Programming Process: (Abstract Only)","","2018","","","272","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 49th ACM Technical Symposium on Computer Science Education","Baltimore, Maryland, USA","2018","9781450351034","","https://doi-org.proxy.bnl.lu/10.1145/3159450.3162337;http://dx.doi.org/10.1145/3159450.3162337","10.1145/3159450.3162337","Assessment of software tends to focus on postmortem evaluation of metrics like correctness, mergeability, and code coverage. This is evidenced in the current practices of continuous integration and deployment that focus on software's ability to pass unit tests before it can be merged into a deployment pipeline. However, little attention or tooling is given to the assessment of the software development process itself. Good process becomes both more challenging and more critical as software complexity increases. Real-time evaluation and feedback about a software developer's skills, such as incremental development, testing, and time management, could greatly increase productivity and improve the ability to write tested andcorrect code. My work focuses on the collection and analysis of fine-grained programming process data to help quantitatively model the programming process in terms of these metrics. I report on my research problem, presenting past work involving the collection and analysis of IDE event data from junior level students working on large and complex projects. The goal is to quantify the programming process in terms of incremental development and procrastination. I also present a long-term vision for my research and present work planned in the short term as a step toward that vision.","repository mining, testing behavior, educational data mining, programming process","","SIGCSE '18"
